지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),기사
90,속초,2020-03-10,7.6,5,10.1,20.7,2.2,86.3,,
90,속초,2020-03-11,6.3,2.2,10.5,,2.6,35,,
90,속초,2020-03-12,10.8,4.1,17,,2.6,28.6,,
90,속초,2020-03-13,6.8,.7,11.9,0,2.6,45.3,,
90,속초,2020-03-14,5.6,-.6,11.7,0,2.3,33.1,,
90,속초,2020-03-15,4.8,.5,9,3.4,4,47.5,,
90,속초,2020-03-16,5.1,0,8.7,1.2,3.1,53,,
90,속초,2020-03-17,8.6,4,11.8,0,3.6,49.5,,
90,속초,2020-03-18,12.9,5.5,18.3,,1.8,36.3,,
90,속초,2020-03-19,11.6,6.9,17.1,.3,4.6,35,,
90,속초,2020-03-20,11.3,5.6,17.4,,3.2,25.4,,
90,속초,2020-03-21,12.2,8.7,17.5,3.8,3.1,57.1,,
90,속초,2020-03-22,9.5,4.9,13,,2.5,47.3,,
90,속초,2020-03-23,8.5,3.9,12.9,,1.9,51.8,,
90,속초,2020-03-24,8.3,3.2,13.3,,2.1,65.4,,
90,속초,2020-03-25,9.3,4,13.7,,1.4,78.5,,
90,속초,2020-03-26,13.2,6.8,19.3,,1.5,62.9,,
90,속초,2020-03-27,8.1,4.1,14.1,6.7,1.9,90.3,,
90,속초,2020-03-28,5.2,.3,7.9,,2.6,47.9,,
90,속초,2020-03-29,6.6,.4,11.2,0,2.3,66,,
90,속초,2020-03-30,8.4,2,14,,2,68.9,,
90,속초,2020-03-31,10.6,4.4,15.8,,1.7,70.3,,
90,속초,2020-04-01,9.1,3.3,13.9,.8,2.3,63.3,,
90,속초,2020-04-02,12,2.6,18.4,,2.1,35.8,,
90,속초,2020-04-03,15.4,8.4,20.8,,2,18.8,,
90,속초,2020-04-04,8.4,4.6,13,,3.9,36.4,,
90,속초,2020-04-05,6.6,.9,11.8,,1.6,35.1,,
90,속초,2020-04-06,10.9,3.6,14.7,,1.9,39,,
90,속초,2020-04-07,12.5,9,18.5,2.5,2.4,49.5,,
90,속초,2020-04-08,7.4,3.4,10.7,.3,2.8,56.8,,
90,속초,2020-04-09,7.9,3.3,11.3,,2.3,51,,
90,속초,2020-04-10,8.4,3.2,13.8,,1.9,60.6,,
90,속초,2020-04-11,10.1,4,15.4,,1.5,56.4,,
90,속초,2020-04-12,9.5,7.2,11.8,0,4.6,70.9,,
90,속초,2020-04-13,9.5,5,13.8,0,2.5,45.3,,
90,속초,2020-04-14,16.5,7.5,23.7,,1.8,28,,
90,속초,2020-04-15,13.5,8.1,20.3,0,2,52.3,,
90,속초,2020-04-16,11.2,6.7,15,,2.8,67.3,,
90,속초,2020-04-17,11.7,9.1,13.6,2,1.6,70.9,,
90,속초,2020-04-18,10.4,7.5,13.2,10.6,2.8,79.6,,
90,속초,2020-04-19,9.7,6.4,13,18.1,2,82.5,,
90,속초,2020-04-20,10.8,7.1,16.2,1.9,2.5,65.6,,
90,속초,2020-04-21,8.7,5.1,14,,3.6,32.4,,
90,속초,2020-04-22,7.8,4.5,12.1,,4.4,32.6,,
90,속초,2020-04-23,9.1,5,14.9,,2.9,43.9,,
90,속초,2020-04-24,12.8,6.5,18,,2.8,28.4,,
90,속초,2020-04-25,15.7,11.2,22.7,0,2.8,40.4,,
90,속초,2020-04-26,10.5,8.3,14,.3,2.6,67.3,,
90,속초,2020-04-27,10.2,6.5,13.9,1.9,1.7,66.1,,
90,속초,2020-04-28,17.6,8,23.2,,2.6,26.8,,
90,속초,2020-04-29,16.8,11.3,22.1,,2.6,47.3,,
90,속초,2020-04-30,19.2,12.4,24.5,,1.8,39.8,,
90,속초,2020-05-01,25.5,18.2,32.4,,2.8,42.4,,
90,속초,2020-05-02,24.8,20.6,28.6,,2.6,49,,
90,속초,2020-05-03,20.8,14.6,26.8,,1.7,62.9,,
90,속초,2020-05-04,15.3,12.8,28,,1.8,81.9,,
90,속초,2020-05-05,15,12.2,17.4,,2.2,75,,
90,속초,2020-05-06,15.6,11.4,19.5,,2.4,78.8,,
90,속초,2020-05-07,14.7,8.9,18.7,,2,76.3,,
90,속초,2020-05-08,14.8,10.1,19.4,3.2,1.7,81.1,,
90,속초,2020-05-09,13.7,11.7,15.7,42.8,1.6,95.8,,
90,속초,2020-05-10,19,14,24.1,,2.1,63.4,,
90,속초,2020-05-11,20.4,16.4,25.2,,4.3,32.3,,
90,속초,2020-05-12,17.2,13.5,21.1,0,3.1,45.6,,
90,속초,2020-05-13,20.8,14.7,26.5,,4,25.1,,
90,속초,2020-05-14,23,19.3,29.1,,2,23.8,,
90,속초,2020-05-15,16.1,14.1,22.6,7.3,2.2,75.9,,
90,속초,2020-05-16,15.2,14,16.4,.5,1.6,91,,
90,속초,2020-05-17,16.3,14.8,19.4,.4,2.4,90.4,,
90,속초,2020-05-18,14.8,13.7,15.6,30.3,3.5,97.5,,
90,속초,2020-05-19,10.3,7.8,13.8,140,4.4,94,,
90,속초,2020-05-20,10.6,8.3,14.4,12.4,2.4,82.9,,
90,속초,2020-05-21,13.2,9.3,16.9,,2,73.8,,
90,속초,2020-05-22,13.2,12,14.9,.2,2.6,84.8,,
90,속초,2020-05-23,14.5,11.7,18,0,1.2,88.5,,
90,속초,2020-05-24,17.3,13.9,23,4.5,1.5,78.5,,
90,속초,2020-05-25,21.2,16.3,24.7,,1.7,57.9,,
90,속초,2020-05-26,17.4,13.4,24.6,3.5,1.2,70.1,,
90,속초,2020-05-27,19.1,12.9,23.8,,1.5,53.3,,
90,속초,2020-05-28,18.1,14.3,22.8,0,1.2,67.6,,
90,속초,2020-05-29,17.9,13.1,22.5,,1.4,69.3,,
90,속초,2020-05-30,17.5,11.1,22.3,,1.8,74.4,,
90,속초,2020-05-31,17.7,12.9,21.1,0,1.4,84.1,,
90,속초,2020-06-01,23.9,17.3,28.5,,2.8,40.8,,
90,속초,2020-06-02,19.3,13.9,25.1,0,1.9,56.5,,
90,속초,2020-06-03,22.6,13.9,27.9,,3,58.4,,
90,속초,2020-06-04,25.9,20.6,31.4,,2.5,51,,
90,속초,2020-06-05,18.9,17,24.4,,2.8,82.5,,
90,속초,2020-06-06,18.4,15.5,21.8,,1.5,86,,
90,속초,2020-06-07,19.7,16.7,23.4,,1.8,78.4,,
90,속초,2020-06-08,22.8,16.7,29.4,,1.9,71.9,,
90,속초,2020-06-09,25,20.4,32,,1.3,67.6,,
90,속초,2020-06-10,24.2,19.6,29.6,0,1.7,73.5,,
90,속초,2020-06-11,24.7,21.9,29.1,0,1.8,70.1,,
90,속초,2020-06-12,20.4,19.3,22.3,,1.1,90.6,,
90,속초,2020-06-13,23.5,19.2,29.5,,1.8,73.3,,
90,속초,2020-06-14,27.3,20.4,33.2,.5,2.3,56.4,,
90,속초,2020-06-15,28.4,23.5,33,,3.4,35.5,,
90,속초,2020-06-16,23.5,18.7,27.3,,2.3,56.3,,
90,속초,2020-06-17,22.5,17.4,27.5,,1.7,71.5,,
90,속초,2020-06-18,20.7,17.9,24.3,.8,2.4,80.8,,
90,속초,2020-06-19,18.1,17.2,18.9,3,1.9,93.9,,
90,속초,2020-06-20,20.3,16.1,23.8,,2.3,85,,
90,속초,2020-06-21,21.3,18.6,25,,2.4,82.1,,
90,속초,2020-06-22,21.1,17.4,26.7,,1.4,83.3,,
90,속초,2020-06-23,21.9,18.8,26,,1.2,84.4,,
90,속초,2020-06-24,20,18.8,21.8,51.1,1.7,95.3,,
90,속초,2020-06-25,19.3,18.5,21.6,.3,2.8,92.6,,
90,속초,2020-06-26,23.8,18.2,28.6,,2,68.6,,
90,속초,2020-06-27,25.3,20.6,30.4,1,2,66.5,,
90,속초,2020-06-28,21.6,19.4,24.1,,1.6,86,,
90,속초,2020-06-29,21.4,20.5,23.1,.6,1.8,88.3,,
90,속초,2020-06-30,18.7,16.4,21,214.6,5.6,96.1,,
90,속초,2020-07-01,19.5,16.1,25,7.7,1.2,81,,
90,속초,2020-07-02,22,18,25.7,,1.5,76.9,,
90,속초,2020-07-03,21.7,18.6,25.2,,2.2,82.1,,
90,속초,2020-07-04,21.1,18,24.8,,1.6,80.5,,
90,속초,2020-07-05,23.2,18.4,28.2,,2,74.6,,
90,속초,2020-07-06,22.8,19,27.9,,1.2,80.9,,
90,속초,2020-07-07,23.1,21,26.9,,1.6,85.8,,
90,속초,2020-07-08,23.4,20.6,27,,1.7,82.1,,
90,속초,2020-07-09,22.7,21.1,25.8,0,1.8,86,,
90,속초,2020-07-10,21.5,20.5,22.3,84.4,2.1,96.5,,
90,속초,2020-07-11,19.3,16.7,21.8,36.3,2.5,89.9,,
90,속초,2020-07-12,19.7,15.6,22.8,,1.3,84.1,,
90,속초,2020-07-13,19,18.2,19.9,29,3.3,91.9,,
90,속초,2020-07-14,18.4,17.1,19.8,24.9,3.4,87.8,,
90,속초,2020-07-15,19.6,16.3,23.2,0,1.4,77.6,,
90,속초,2020-07-16,20.5,15.7,24.3,,2.3,80.5,,
90,속초,2020-07-17,21.5,17.9,24.9,,2.3,81.5,,
90,속초,2020-07-18,21.6,19.6,25.3,,1.9,81.3,,
90,속초,2020-07-19,21.1,19.3,24.4,2.7,.9,88.8,,
90,속초,2020-07-20,26.9,20.8,30.9,0,2.2,67.8,,
90,속초,2020-07-21,25.2,22,28.9,,1.8,71.9,,
90,속초,2020-07-22,22.8,20.8,25.3,,.8,87.8,,
90,속초,2020-07-23,21.1,19.2,22.7,22.2,1.6,94.8,,
90,속초,2020-07-24,19.8,18.3,20.8,115.5,4.9,96,,
90,속초,2020-07-25,19.9,19.4,20.7,34,5.8,97.4,,
90,속초,2020-07-26,20.5,18.9,23.2,13.2,2.2,92.3,,
90,속초,2020-07-27,20.3,19.7,21.4,1.9,.7,95.9,,
90,속초,2020-07-28,21.3,20,23.8,0,.6,94.1,,
90,속초,2020-07-29,21.3,20.2,23.5,2.9,.7,95.5,,
90,속초,2020-07-30,22.7,20.9,25.3,0,.9,91,,
90,속초,2020-07-31,27.6,21.5,33.3,,1.2,70.4,,
90,속초,2020-08-01,26.3,23.1,29.6,4.1,.7,79.1,,
90,속초,2020-08-02,24,22.8,28.7,5.2,.9,92.5,,
90,속초,2020-08-03,26.8,23.2,31.1,9.4,1.6,76.3,,
90,속초,2020-08-04,24.4,22.4,29.6,88.3,1.5,88.3,,
90,속초,2020-08-05,21.5,20.6,23.2,127.9,1,97.9,,
90,속초,2020-08-06,22.6,20.7,26,17.1,2.2,91.9,,
90,속초,2020-08-07,24.2,21,28.3,0,.7,83.1,,
90,속초,2020-08-08,22.2,20.8,23.8,7.2,1.2,92,,
90,속초,2020-08-09,22.9,20.6,28.6,19.4,1.2,90.4,,
90,속초,2020-08-10,25,22.9,30.2,6.9,1.7,85.4,,
90,속초,2020-08-11,25.6,21.2,31.2,36.5,1.1,81.9,,
90,속초,2020-08-12,28.2,22.9,32.4,,1,68.6,,
90,속초,2020-08-13,28.9,24.8,34.9,,1,70.9,,
90,속초,2020-08-14,31,29.1,32.9,3.9,2.1,60.3,,
90,속초,2020-08-15,29.7,25,33.3,.3,1.7,66.8,,
90,속초,2020-08-16,28.9,25,32,,1.4,66.3,,
90,속초,2020-08-17,29.3,25.3,33.1,,1.7,69.3,,
90,속초,2020-08-18,28.6,24.3,33,,1.4,70.9,,
90,속초,2020-08-19,29.5,23.3,35.1,,1.7,58.8,,
90,속초,2020-08-20,24.4,21.6,29.7,11.9,1.7,86.6,,
90,속초,2020-08-21,21.2,20,22.5,26.7,1.5,94.8,,
90,속초,2020-08-22,22.1,20.3,25.1,21.2,1,94.3,,
90,속초,2020-08-23,23.6,19.6,27.7,.1,1.6,86.9,,
90,속초,2020-08-24,24.7,20.4,28.5,,.9,84.6,,
90,속초,2020-08-25,27.3,23.2,32.2,,1.4,79.1,,
90,속초,2020-08-26,25.8,23.5,28.9,2.4,1.3,88.4,,
90,속초,2020-08-27,27.3,25.1,32.4,2,3,82.6,,
90,속초,2020-08-28,27.1,25.3,31.6,0,1,84.4,,
90,속초,2020-08-29,26.9,24.6,31.1,6.5,1.3,86.1,,
90,속초,2020-08-30,23.4,22.3,25.6,13.3,2.2,93.8,,
90,속초,2020-08-31,22.8,21.2,24.6,1,1.8,86.6,,
90,속초,2020-09-01,24,20.3,27.1,.7,1.9,85.3,,
90,속초,2020-09-02,23,21.7,23.6,147.1,1.9,97.4,,
90,속초,2020-09-03,25.3,22.3,28.7,64.4,3.8,68.6,,
90,속초,2020-09-04,23.7,18.5,28.3,,1.4,55.8,,
90,속초,2020-09-05,20.7,17.1,23.7,,.8,78.3,,
90,속초,2020-09-06,18.3,16,22.6,31.1,1.1,88.5,,
90,속초,2020-09-07,21.3,15.3,26.2,192.5,4.1,83.1,,
90,속초,2020-09-08,25.1,22.5,27.3,0,3.6,49.9,,
90,속초,2020-09-09,22.6,19.5,26.5,.1,1.3,65.3,,
90,속초,2020-09-10,22.3,18.5,28.1,,1.5,69,,
90,속초,2020-09-11,20.2,18.3,23.1,3,1.9,84.8,,
90,속초,2020-09-12,18.5,16.4,20.1,13.3,4.8,92.3,,
90,속초,2020-09-13,17.4,15.4,20.6,9.8,1.9,89.5,,
90,속초,2020-09-14,20.1,14.7,27.9,,.9,82.8,,
90,속초,2020-09-15,20.8,17.4,24.5,,1.4,87,,
90,속초,2020-09-16,20.7,18.4,24.4,.5,.9,89.1,,
90,속초,2020-09-17,21.3,18.8,24,,1.9,59,,
90,속초,2020-09-18,21.6,19,26.6,,2.4,47,,
90,속초,2020-09-19,21.9,17.4,26.8,,1.7,41,,
90,속초,2020-09-20,18.5,13.9,22.5,,2.2,57.1,,
90,속초,2020-09-21,17.2,13.8,21.7,,2.1,64.6,,
90,속초,2020-09-22,16.8,13.1,21.3,0,1.7,76.4,,
90,속초,2020-09-23,17.3,13.3,20.9,.7,2.2,78,,
90,속초,2020-09-24,18.3,15.3,20.2,5.6,4,84,,
90,속초,2020-09-25,18.3,16.6,19.8,3.1,4,83.5,,
90,속초,2020-09-26,17.6,15.9,19.9,6.4,3.1,82.8,,
90,속초,2020-09-27,17,13,20.9,1.8,1.3,82.4,,
90,속초,2020-09-28,17,12.1,21.9,,1.8,80.8,,
90,속초,2020-09-29,18.3,13.5,23.7,,1.1,72.5,,
90,속초,2020-09-30,16.8,14.7,20,2.7,2.6,83.4,,
90,속초,2020-10-01,16.5,14.8,18.7,,1.4,80.3,,
90,속초,2020-10-02,18.8,14.3,23.7,0,1.1,74.8,,
90,속초,2020-10-03,18.3,15.9,22.2,,.9,75.8,,
90,속초,2020-10-04,17.7,12.2,22.9,0,1.8,55.8,,
90,속초,2020-10-05,14.7,10.3,20.5,,2.5,41.6,,
90,속초,2020-10-06,13,8.6,17.7,,1.7,56,,
90,속초,2020-10-07,14.2,9.8,19,,1.4,64.8,,
90,속초,2020-10-08,15,11.5,19.6,,2,72.3,,
90,속초,2020-10-09,15.7,11,19.5,,2.2,68.5,,
90,속초,2020-10-10,14.8,11.4,18.4,,2.2,73.4,,
90,속초,2020-10-11,14.6,10.9,19.6,,1.4,75.3,,
90,속초,2020-10-12,15.4,11.3,20.7,,1.1,78.8,,
90,속초,2020-10-13,14.4,10.9,17,0,2,69.5,,
90,속초,2020-10-14,13.8,9.3,18.8,,2.2,57.8,,
90,속초,2020-10-15,11.2,6.8,16.9,,1.4,57.3,,
90,속초,2020-10-16,13,7.6,16.8,,1.2,54.9,,
90,속초,2020-10-17,12.3,8.3,17.2,,1.4,63,,
90,속초,2020-10-18,14.8,8.6,21.2,,1.5,50.4,,
90,속초,2020-10-19,15.1,10.2,19.8,,1.4,62.9,,
90,속초,2020-10-20,14.5,10,20.5,,1.4,63.4,,
90,속초,2020-10-21,14.6,9,18.2,,.8,62.4,,
90,속초,2020-10-22,15.8,11.1,20.5,,2,52.6,,
90,속초,2020-10-23,10.7,7.5,15.9,,2.1,44.4,,
90,속초,2020-10-24,11.1,4.6,15.7,,2.3,27.3,,
90,속초,2020-10-25,15.6,10.3,22.3,,1.7,25.9,,
90,속초,2020-10-26,13.2,8.7,18.2,,1.6,61.1,,
90,속초,2020-10-27,15.1,8.7,19.6,,1.5,62.6,,
90,속초,2020-10-28,14,8.6,19.3,,2.3,50.6,,
90,속초,2020-10-29,10,6.5,14.6,,2,41.6,,
90,속초,2020-10-30,10.9,6,15.3,,1.9,60.8,,
90,속초,2020-10-31,13,5.7,18.5,,1.4,58.4,,
90,속초,2020-11-01,15.8,13.6,19,.1,2.3,51.9,,
90,속초,2020-11-02,12.9,8,17.2,0,1.6,27.3,,
90,속초,2020-11-03,6.7,3.3,11.3,0,3.2,26.1,,
90,속초,2020-11-04,7.6,.6,13.5,,1.7,21.5,,
90,속초,2020-11-05,13.2,7,17.8,,1.8,39.5,,
90,속초,2020-11-06,16.6,12.4,21.3,,1.9,33.3,,
90,속초,2020-11-07,17.3,14.2,20.7,,2.6,37.5,,
90,속초,2020-11-08,11,5.1,14.7,,2.6,23.9,,
90,속초,2020-11-09,7.2,1.2,12.4,,2.1,24.9,,
90,속초,2020-11-10,7,3.2,11.6,,1.3,43.9,,
90,속초,2020-11-11,9.7,4.1,15.6,,1.4,46.1,,
