tm,spotName,th3,ws,sky,rhm,pop
2020-03-21 15:00,(봉화)남호구택,21,3,3,25,20
2020-03-21 15:00,(봉화)계서당(성이성 생가),21,3,3,25,20
2020-03-21 15:00,(봉화)춘양목 송이마을,20,3,3,25,20
2020-03-21 15:00,(봉화)지림사,21,3,3,20,20
2020-03-21 15:00,(영동)송호국민관광지캠핑장,21,3,3,40,20
2020-03-21 15:00,(영동)난계국악박물관/난계국악기체험전수관,22,3,3,40,20
2020-03-21 15:00,(영동)영국사,21,3,3,40,20
2020-03-21 15:00,(영양)일월산,17,3,1,30,0
2020-03-21 15:00,(영양)영양시장,20,3,1,30,0
2020-03-21 15:00,(영양)국립 검마산자연휴양림,21,3,1,30,0
2020-03-21 15:00,(영양)두메송하마을,20,3,1,30,0
2020-03-21 15:00,(보은)법주사,19,3,4,35,30
2020-03-21 15:00,(보은)선병국 가옥,21,3,4,35,30
2020-03-21 15:00,(영동)비단강숲마을,21,3,3,40,20
2020-03-21 15:00,(보은)삼년산성 ,20,3,4,40,30
2020-03-21 15:00,(괴산)화양동계곡 트레킹,20,4,4,35,30
2020-03-21 15:00,(괴산)화양동야영장,20,4,4,35,30
2020-03-21 15:00,(보은)오장환문학관 ,19,3,4,40,30
2020-03-21 15:00,(보은)정이품송,20,3,4,35,30
2020-03-21 15:00,(청주)미동산수목원,20,4,4,40,30
2020-03-21 15:00,(청주)청남대,20,3,4,40,30
2020-03-21 15:00,(청주)문의문화재단지 ,20,3,4,40,30
2020-03-21 15:00,(청주)상수허브랜드,20,3,4,40,30
2020-03-21 15:00,(보령)대천항,14,3,3,65,20
2020-03-21 15:00,(태안)고남패총박물관,12,3,3,75,20
2020-03-21 15:00,(태안)꽃지해수욕장,12,3,3,75,20
2020-03-21 15:00,(태안)안면암 ,14,3,3,70,20
2020-03-21 15:00,(태안)몽산포캠핑장,13,3,3,75,20
2020-03-21 15:00,(논산)개태사,19,3,3,50,20
2020-03-21 15:00,(논산)KT&G 상상마당 논산 캠핑장,19,3,3,55,20
2020-03-21 15:00,(계룡)괴목정 ,19,3,4,45,30
2020-03-21 15:00,(계룡)사계고택,19,3,4,50,30
2020-03-21 15:00,(논산)명재고택,17,3,3,50,20
2020-03-21 15:00,(논산)백제군사박물관/계백장군유적지 ,20,3,3,50,20
2020-03-21 15:00,(논산)관촉사,20,3,3,55,20
2020-03-21 15:00,(보령)방자구이마을,15,3,3,70,20
2020-03-21 15:00,(서천)금강하구둑 관광지 ,17,4,1,65,0
2020-03-21 15:00,(서천)국립생태원 ,17,3,1,65,0
2020-03-21 15:00,(서천)장항 솔숲 ,17,3,1,65,0
2020-03-21 15:00,(서천)이색체험마을,17,3,1,70,0
2020-03-21 15:00,(예산)슬로시티 대흥,20,3,3,50,20
2020-03-21 15:00,(예산)봉수산 자연휴양림,20,3,3,50,20
2020-03-21 15:00,(예산)덕산온천 관광호텔,13,3,4,55,30
2020-03-21 15:00,(예산)광시 한우거리 ,21,3,3,55,20
2020-03-21 15:00,(서산)천수만/간월암 ,15,3,3,70,20
2020-03-21 15:00,(서산)부석사,15,3,3,70,20
2020-03-21 15:00,(태안)안면도자연휴양림,13,3,3,75,20
2020-03-21 15:00,(서산)삼길포항 ,17,3,4,70,30
2020-03-21 15:00,(가평)밤벌오토캠핑장,19,3,3,40,20
2020-03-21 15:00,(가평)어비계곡,19,3,3,40,20
2020-03-21 15:00,(가평)대리마을 산골농원,17,3,3,45,20
2020-03-21 15:00,(가평)유명산 자연휴양림,17,3,3,45,20
2020-03-21 15:00,(양주)신흥레저타운,18,3,3,45,20
2020-03-21 15:00,(양주)장흥아트파크 ,18,3,3,45,20
